ID,score
34988,1.0
34989,2.0
34990,0.0
34991,1.0
34992,3.0
34993,3.0
34994,1.0
34995,0.0
34996,0.0
34997,0.0
34998,1.0
34999,1.0
35000,2.0
35001,1.0
35002,0.0
35003,2.0
35004,1.0
35005,0.0
35006,0.0
35007,0.0
35008,0.0
35009,0.0
35010,1.0
35011,2.0
35012,3.0
35013,2.0
35014,0.0
35015,3.0
35016,3.0
35017,2.0
35018,3.0
35019,1.0
35020,1.0
35021,1.0
35022,3.0
35023,3.0
35024,2.0
35025,3.0
35026,2.0
35027,3.0
35028,0.0
35029,3.0
35030,1.0
35031,1.0
35032,3.0
35033,3.0
35034,3.0
35035,1.0
35036,0.0
35037,0.0
35038,2.0
35039,2.0
35040,3.0
35041,3.0
35042,0.0
35043,3.0
35044,1.0
35045,3.0
35046,3.0
35047,3.0
35048,2.0
35049,1.0
35050,0.0
35051,1.0
35052,2.0
35053,2.0
35054,1.0
35055,1.0
35056,1.0
35057,3.0
35058,3.0
35059,0.0
35060,3.0
35061,1.0
35062,0.0
35063,0.0
35064,3.0
35065,1.0
35066,3.0
35067,2.0
35068,3.0
35069,3.0
35070,0.0
35071,3.0
35072,3.0
35073,3.0
35074,2.0
35075,3.0
35076,0.0
35077,0.0
35078,1.0
35079,1.0
35080,3.0
35081,0.0
35082,1.0
35083,2.0
35084,1.0
35085,3.0
35086,2.0
35087,3.0
35088,0.0
35089,1.0
35090,0.0
35091,3.0
35092,0.0
35093,3.0
35094,0.0
35095,1.0
35096,0.0
35097,0.0
35098,1.0
35099,3.0
35100,2.0
35101,1.0
35102,3.0
35103,3.0
35104,2.0
35105,1.0
35106,0.0
35107,3.0
35108,1.0
35109,0.0
35110,3.0
35111,0.0
35112,3.0
35113,2.0
35114,2.0
35115,1.0
35116,0.0
35117,0.0
35118,1.0
35119,2.0
35120,2.0
35121,1.0
35122,2.0
35123,1.0
35124,2.0
35125,3.0
35126,1.0
35127,1.0
35128,1.0
35129,2.0
35130,3.0
35131,2.0
35132,3.0
35133,3.0
35134,1.0
35135,0.0
35136,1.0
35137,0.0
35138,3.0
35139,3.0
35140,1.0
35141,0.0
35142,2.0
35143,1.0
35144,3.0
35145,1.0
35146,0.0
35147,1.0
35148,1.0
35149,3.0
35150,1.0
35151,0.0
35152,3.0
35153,1.0
35154,2.0
35155,3.0
35156,3.0
35157,2.0
35158,1.0
35159,3.0
35160,3.0
35161,2.0
35162,2.0
35163,0.0
35164,3.0
35165,3.0
35166,0.0
35167,3.0
35168,3.0
35169,1.0
35170,1.0
35171,3.0
35172,1.0
35173,2.0
35174,3.0
35175,3.0
35176,2.0
35177,2.0
35178,2.0
35179,2.0
35180,0.0
35181,3.0
35182,0.0
35183,1.0
35184,3.0
35185,1.0
35186,1.0
35187,0.0
35188,1.0
35189,2.0
35190,2.0
35191,1.0
35192,2.0
35193,3.0
35194,3.0
35195,3.0
35196,2.0
35197,3.0
35198,0.0
35199,3.0
35200,0.0
35201,1.0
35202,3.0
35203,2.0
35204,0.0
35205,0.0
35206,2.0
35207,3.0
35208,0.0
35209,2.0
35210,3.0
35211,3.0
35212,1.0
35213,2.0
35214,0.0
35215,3.0
35216,0.0
35217,3.0
35218,1.0
35219,0.0
35220,0.0
35221,3.0
35222,2.0
35223,1.0
35224,3.0
35225,2.0
35226,3.0
35227,2.0
35228,2.0
35229,2.0
35230,3.0
35231,1.0
35232,0.0
35233,0.0
35234,1.0
35235,0.0
35236,1.0
35237,3.0
35238,1.0
35239,3.0
35240,0.0
35241,2.0
35242,0.0
35243,0.0
35244,2.0
35245,1.0
35246,2.0
35247,2.0
35248,0.0
35249,1.0
35250,3.0
35251,2.0
35252,1.0
35253,2.0
35254,2.0
35255,1.0
35256,1.0
35257,1.0
35258,0.0
35259,0.0
35260,1.0
35261,2.0
35262,3.0
35263,3.0
35264,3.0
35265,3.0
35266,3.0
35267,0.0
35268,0.0
35269,2.0
35270,0.0
35271,1.0
35272,2.0
35273,0.0
35274,1.0
35275,1.0
35276,0.0
35277,3.0
35278,1.0
35279,3.0
35280,0.0
35281,1.0
35282,0.0
35283,1.0
35284,1.0
35285,0.0
35286,3.0
35287,0.0
35288,3.0
35289,2.0
35290,3.0
35291,3.0
35292,2.0
35293,0.0
35294,1.0
35295,2.0
35296,2.0
35297,0.0
35298,3.0
35299,3.0
35300,2.0
35301,0.0
35302,2.0
35303,0.0
35304,3.0
35305,3.0
35306,1.0
35307,3.0
35308,3.0
35309,1.0
35310,2.0
35311,1.0
35312,3.0
35313,3.0
35314,3.0
35315,1.0
35316,0.0
35317,3.0
35318,3.0
35319,2.0
35320,3.0
35321,0.0
35322,0.0
35323,2.0
35324,3.0
35325,2.0
35326,3.0
35327,1.0
35328,2.0
35329,0.0
35330,0.0
35331,1.0
35332,0.0
35333,0.0
35334,0.0
35335,1.0
35336,1.0
35337,0.0
35338,1.0
35339,2.0
35340,0.0
35341,1.0
35342,0.0
35343,2.0
35344,2.0
35345,3.0
35346,0.0
35347,1.0
35348,0.0
35349,0.0
35350,0.0
35351,1.0
35352,1.0
35353,2.0
35354,1.0
35355,1.0
35356,2.0
35357,2.0
35358,0.0
35359,3.0
35360,1.0
35361,0.0
35362,1.0
35363,1.0
35364,1.0
35365,3.0
35366,1.0
35367,1.0
35368,0.0
35369,0.0
35370,1.0
35371,0.0
35372,1.0
35373,3.0
35374,1.0
35375,2.0
35376,2.0
35377,3.0
35378,2.0
35379,2.0
35380,2.0
35381,2.0
35382,1.0
35383,2.0
35384,1.0
35385,0.0
35386,1.0
35387,3.0
35388,3.0
35389,0.0
35390,2.0
35391,1.0
35392,0.0
35393,2.0
35394,2.0
35395,3.0
35396,0.0
35397,0.0
35398,1.0
35399,0.0
35400,2.0
35401,3.0
35402,2.0
35403,1.0
35404,2.0
35405,2.0
35406,0.0
35407,0.0
35408,0.0
35409,0.0
35410,3.0
35411,2.0
35412,1.0
35413,1.0
35414,1.0
35415,0.0
35416,0.0
35417,0.0
35418,1.0
35419,0.0
35420,0.0
35421,1.0
35422,3.0
35423,0.0
35424,0.0
35425,1.0
35426,1.0
35427,3.0
35428,1.0
35429,0.0
35430,2.0
35431,3.0
35432,3.0
35433,2.0
35434,2.0
35435,0.0
35436,1.0
35437,0.0
35438,3.0
35439,0.0
35440,0.0
35441,2.0
35442,0.0
35443,3.0
35444,1.0
35445,0.0
35446,2.0
35447,1.0
35448,2.0
35449,2.0
35450,2.0
35451,0.0
35452,0.0
35453,3.0
35454,1.0
35455,1.0
35456,1.0
35457,3.0
35458,2.0
35459,0.0
35460,0.0
35461,2.0
35462,0.0
35463,1.0
35464,3.0
35465,2.0
35466,0.0
35467,1.0
35468,1.0
35469,0.0
35470,3.0
35471,1.0
35472,1.0
35473,2.0
35474,2.0
35475,0.0
35476,2.0
35477,1.0
35478,1.0
35479,1.0
35480,3.0
35481,0.0
35482,0.0
35483,2.0
35484,1.0
35485,0.0
35486,3.0
35487,1.0
35488,0.0
35489,2.0
35490,0.0
35491,3.0
35492,3.0
35493,0.0
35494,2.0
35495,3.0
35496,1.0
35497,3.0
35498,1.0
35499,1.0
35500,0.0
35501,3.0
35502,0.0
